case,N,r,M,rates0_c0,rates1_c0,rates0_c0.1,rates1_c0.1,rates0_c1,rates1_c1,rates0_c10,rates1_c10,onset0_c0,onset1_c0,persistence0_c0,persistence1_c0,onset0_c0.1,onset1_c0.1,persistence0_c0.1,persistence1_c0.1,onset0_c1,onset1_c1,persistence0_c1,persistence1_c1,onset0_c10,onset1_c10,persistence0_c10,persistence1_c10
"state-(0.02,0.3)",2000,8,375,0.026459787685120868,0.32432523074946146,0.026484733461624783,0.3243094541478732,0.026702553808649762,0.32416285765783226,0.028880233476305774,0.3227614224966702,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,9,323,0.019324814629642653,0.2814888483833371,0.0193436002031904,0.2814746297545276,0.019550970783092005,0.28134853397844717,0.021567786558135314,0.28011241820950095,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,10,319,0.023012247076939416,0.30724137270156926,0.023033795122487724,0.30722188598566436,0.023216995177936097,0.3070478322070932,0.02508945349455916,0.30532881674198853,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,11,379,0.019321022989064227,0.317626818589148,0.019349452311176164,0.3176132667418412,0.01960278281214989,0.31749033845665786,0.022080832589061506,0.31628541131523097,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,12,361,0.026720596351750333,0.2927913087580995,0.02674434275918638,0.2927765982242717,0.026965876862719926,0.29266770908677564,0.029124611466657024,0.2915944382532374,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,13,314,0.024925768488952463,0.32068532968952845,0.02494121714958267,0.320664621158676,0.025068130657973763,0.3204816872226804,0.026438395010862197,0.31864311541684365,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,14,293,0.01292266667194936,0.27989630731616355,0.012946849948445907,0.2798773605343368,0.013157603084495154,0.27971008637561084,0.015229601958385684,0.27805594891952823,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,15,327,0.025123560899166696,0.300933615469711,0.025144895288884774,0.3009162002422539,0.025326700282331242,0.3007625778207969,0.027184140067102274,0.29922563831026217,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,16,329,0.013499302455837744,0.3172321688291135,0.013522321031571825,0.31721398642140636,0.013720512294921716,0.3170512536919167,0.01569405193308434,0.3154482521999238,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,17,327,0.026261165574003657,0.3151884406650399,0.02628101102737163,0.31516865903205166,0.02643985551797002,0.3149954878168652,0.02817513366015506,0.31324748409382264,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,18,346,0.014348112621448472,0.3006868744717058,0.01437463695317231,0.30067133222367726,0.01461026732011257,0.3005324919219032,0.0169131014119893,0.29916573029819016,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,19,326,0.008570984528695348,0.28576024433045877,0.008598549638639721,0.2857444669696788,0.0089829134951569,0.2856002330807374,0.012526311633051252,0.28424844953693607,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,20,353,0.012451893931117333,0.3347236244994212,0.012478225360289459,0.3347037821984707,0.012710448383284532,0.3345265765552087,0.014957188432089425,0.3327885985898182,,,,,,,,,,,,,,,,
